,index,0
1285,we've,1
1332,wrong.,1
806,live,1
807,lives,1
808,"lives,",1
1330,wounded,1
810,lobbying,1
812,long-term,1
814,"look,",1
815,looking,1
816,looks,1
794,left.,1
793,left,1
1336,years.,1
791,"leave,",1
1350,‘service’,1
771,"job,",1
772,job?,1
1348,‘Donald,1
1345,you’ve,1
776,killed,1
777,kind,1
778,knock,1
779,knocked,1
1343,you.,1
1342,"you,",1
782,knowledge,1
783,knows,1
784,lake,1
785,land.,1
1338,yet,1
787,late.,1
1337,yesterday.,1
788,latest,1
789,laws,1
790,least,1
818,losing,1
819,lost!,1
1324,work,1
1310,win.,1
841,maybe,1
1305,who's,1
1301,whether,1
1298,"what,",1
1294,we’re,1
846,meaning,1
847,means.,1
849,"media,",1
850,mention.,1
937,owe.,1
852,mentions.,1
853,middle,1
854,might,1
855,migrants,1
1293,"were,",1
1290,"well,",1
1289,"weeks,",1
1288,weeks,1
1286,wealth.,1
860,mine,1
861,miners,1
1307,wife,1
1311,winds,1
1323,"words,",1
1312,winning,1
821,lots,1
822,love,1
823,loved,1
824,low,1
1322,word,1
825,lowest.,1
1320,"with,",1
1319,with!,1
827,made-up,1
828,magazine,1
829,magazine.,1
1317,witch,1
1316,wish,1
1315,"wiretapped,",1
832,manipulated,1
1314,wiretapped,1
834,"manipulation,",1
835,"manipulator,",1
837,"many,",1
838,marginal,1
1313,wins,1
936,overseas,1
956,phones,1
939,"packed,",1
1141,"stuff,",1
769,jets.,1
1052,return,1
1155,system,1
1154,swamp,1
1153,surveilled.,1
1152,surged,1
1151,supposed,1
1056,"right,",1
1150,supporters,1
1058,"riot,",1
1059,road,1
1060,rollout,1
1149,suckers,1
1061,running,1
1062,"running,",1
1063,sacred,1
1147,successful.,1
1146,success.,1
1145,substantially,1
1144,"subscribers,",1
1066,satisfied,1
1158,talk,1
1048,reporting,1
1047,reporters.,1
1038,regulators,1
1030,recording,1
1031,red,1
1171,tens,1
1170,telling,1
1033,reduced,1
1034,reducing,1
1035,reform,1
1036,refuses,1
1168,taxpayers,1
1039,reiterated,1
1159,talked,1
1167,taxpayer,1
1041,remember,1
1042,"remember,",1
1043,"remembers,",1
1164,tax.,1
1162,tapped’,1
1045,reported.,1
1046,reporter,1
1161,tap,1
1142,submitted,1
1140,stuff,1
1172,tenure.,1
1139,strongly.,1
1095,sick),1
1096,side's,1
1097,signed,1
1098,simple,1
1100,sitting,1
1101,six,1
1102,"sky,",1
1123,standing,1
1104,smooth,1
1122,stance.,1
1106,sold,1
1121,stance,1
1107,soldier,1
1109,somebody,1
1110,someone,1
1111,something,1
1112,soon,1
1120,"spent,",1
1113,sound,1
1114,source,1
1117,special,1
1126,"state,",1
1127,"statement,",1
1128,states,1
1080,see.,1
1070,"saw,",1
1073,says',1
1138,"strongly,",1
1074,scene,1
1075,scheme,1
1076,"second,",1
1136,strong,1
1134,stories.,1
1079,"see,",1
1130,step,1
1094,"show,",1
1082,senators,1
1083,send,1
1085,sets.,1
1086,seven,1
1087,share.,1
1129,stayed,1
1089,short,1
1090,shot,1
1093,show,1
1029,recorded.,1
1173,terrible,1
1241,tweet,1
1208,"this,",1
963,"planes,",1
964,planes.,1
965,plans,1
1217,thugs,1
967,"plants,",1
968,plants.,1
969,"please,",1
970,please.,1
971,"plus,",1
1213,"thousands,",1
973,policy,1
974,politically,1
975,politics.,1
976,poor,1
977,popular,1
978,pour,1
980,president,1
981,"president,",1
982,"presidents,",1
983,press,1
984,pretty,1
1222,today.,1
1223,told,1
960,plane's,1
1236,trip,1
1239,trying,1
941,papers.,1
1238,truly,1
942,papers?,1
943,participating,1
1237,true.,1
944,particular,1
945,pathetic,1
946,pays,1
948,"people,",1
1224,"too,",1
1235,tried,1
1233,travelers,1
1230,touch,1
1228,total,1
953,perhaps,1
955,person,1
957,place,1
958,"plan,",1
1225,too.,1
1209,this?,1
1206,"third,",1
1174,terror,1
988,"prisoners,",1
1010,questions,1
1011,"quotes,",1
1012,raise,1
1191,"there,",1
1013,rallies,1
1014,rally,1
1190,there's,1
1187,them?,1
1015,rate,1
1185,"them,",1
1016,rate.,1
1017,rated.,1
1018,rates,1
1019,rather,1
1020,rating,1
1021,rating.,1
1022,readers.,1
1023,realized.,1
1025,reason,1
1026,received,1
1027,recently.,1
1009,questioning.,1
1008,quarter,1
1007,putting,1
997,program,1
1205,third,1
1203,things.,1
990,problem,1
1202,thing.,1
991,problems,1
992,problems.,1
993,process.,1
994,production,1
995,productive,1
998,proof).,1
1006,purposely,1
999,protect,1
1000,protecting,1
1197,they’d,1
1001,protesters,1
1002,proven,1
1196,they've,1
1003,"proven,",1
1004,proving,1
1005,puddle,1
1051,result,1
0,"""Welcome",1
768,"jets,",1
236,Russians,1
220,Patrol.,1
221,"Pennsylvania,",1
222,Pew,1
224,Probably,1
225,Professional,1
226,Ratings,1
227,Reagan.,1
228,Remember,1
229,"Remember,",1
230,Richard,1
232,Ronald,1
234,Russia.,1
235,Russian,1
237,Russians.,1
218,Or,1
238,S.C.,1
239,Security,1
241,Senate,1
242,Senate.,1
243,She,1
244,She's,1
248,Someone,1
249,Special,1
250,States,1
252,"Steve,",1
253,Steve.,1
254,"Steyer,",1
255,"Sweden,",1
219,Our,1
217,Only,1
171,Judge,1
191,Michigan,1
174,Kelly,1
175,Kentucky.,1
176,Last,1
177,Liddle',1
179,Lockheed,1
180,Lockheed.,1
181,London,1
184,MS-13.,1
185,Make,1
186,Martha?,1
187,Mayor,1
188,McCarthyism!,1
189,Medicaid,1
192,Middle,1
215,Obamacare.,1
193,More,1
194,Mosul,1
196,"NATO,",1
197,NATO.,1
199,NEWS!,1
200,Networks,1
201,New,1
202,"News,",1
203,Ninety,1
204,Nixon/Watergate.,1
205,"No,",1
207,Nothing,1
211,O!,1
256,Sweden.,1
257,Take,1
259,Tennessee.,1
342,all-time,1
319,according,1
320,achieve,1
321,action,1
323,add,1
325,additional,1
327,administrations,1
330,agenda,1
332,ago.,1
333,agreement.,1
334,air.,1
337,airports,1
338,airports.,1
339,alarmed!’,1
349,amounts,1
260,Terrible!,1
351,"anarchists,",1
353,and/or,1
355,announced,1
356,another,1
357,anti-Trump,1
358,anti-Trump.,1
359,anti-Trump.The,1
360,anticipated.,1
362,anymore.,1
363,anything,1
367,approvals,1
371,arguing,1
372,arrived,1
318,absolutely,1
313,[manipulator].,1
312,[farmers],1
311,Your,1
263,That's,1
264,That’s,1
266,Then,1
271,They've,1
272,They’re,1
277,Tom,1
278,Tower,1
279,Travel,1
280,Trip,1
281,Truman,1
283,Trump.,1
285,U.S.,1
286,USA,1
287,Ukraine,1
288,"Um,",1
289,Under,1
291,Very,1
292,Vietnam.,1
293,Wacky,1
294,Walmart,1
295,Was,1
301,We’ve,1
302,What,1
304,"Which,",1
305,WikiLeaks,1
308,Yesterday.,1
309,York,1
173,Justice,1
170,Johnson,1
767,"jet,",1
58,After,1
42,"6,000",1
43,7,1
44,78,1
45,8,1
46,84,1
48,@WaPo,1
50,@nytimes(apologized),1
51,@washingtonpost,1
52,A,1
53,AGAIN,1
54,AGAIN!,1
56,Administration,1
57,Advisor,1
59,Again,1
39,47,1
62,Also,1
63,America,1
64,America.,1
65,American,1
66,Americans,1
69,At,1
70,Bad,1
71,"Ban,",1
72,Because,1
73,Between,1
75,Blumenthal,1
76,"Blumenthal,",1
77,Bob,1
40,48,1
38,"45,000",1
169,Jeh,1
19,1.2,1
2,$200,1
3,$350,1
4,$600,1
5,$70,1
9,'a,1
10,'nonbinding.',1
11,(and,1
12,(or,1
13,(which,1
14,-,1
16,0,1
17,0.,1
18,1,1
20,"10,000",1
37,40,1
21,10.,1
23,12.,1
24,122,1
25,14,1
26,15,1
27,"15,000",1
29,"2,500",1
31,2.6%,1
32,2020.,1
33,3,1
34,30,1
35,306,1
36,"325,000",1
78,Border,1
80,By,1
81,CNN.,1
141,Harry,1
125,Former,1
126,Forty-seven,1
127,G7.,1
128,GDP,1
130,Gary,1
131,General,1
132,"Germany,",1
133,"Gitmo,",1
134,Gorsuch,1
135,Got,1
136,Great,1
139,Guess,1
140,Half,1
142,Harvey,1
82,Cabinet.,1
143,Harvey.,1
145,Homeland,1
148,I'd,1
151,I?,1
152,ICE,1
153,"ICE,",1
156,In,1
157,India,1
158,Iowa.,1
159,"Iraq,",1
161,Ireland,1
164,Italy,1
168,James,1
124,Florida.,1
123,Florida,1
121,Failing,1
120,Facebook,1
83,Canada,1
84,Canada.,1
85,Central,1
86,Chicago.,1
87,China,1
89,China.’,1
90,Chris,1
93,Cohn,1
94,College,1
95,Come,1
96,Congress.,1
97,Congresswoman,1
98,Corker,1
99,"Cuban-Americans,",1
100,"Cuomo,",1
102,Democrat,1
104,Democrats.,1
106,Dept.,1
108,Director,1
109,E.P.A.’s,1
110,East,1
111,Economic,1
112,Elections,1
113,Electoral,1
